Nome,Telefone,Telefone 2,E-mail,Endereço,Município,UF,CEP,Site,Nicho,CNPJ
Advocacia Silva & Associados,(11) 99990-0001,,contato@silvaadv.com.br,Av. Paulista 1000 cj 42,São Paulo,SP,01310-100,silvaadv.com.br,Advocacia,12345678000101
Contabilidade Ferreira,(11) 99990-0002,(11) 99990-0003,ferreira@contabil.com.br,Rua Augusta 500 sala 12,São Paulo,SP,01304-000,ferreiracontabil.com.br,Contabilidade,23456789000102
Clínica Médica Horizonte,(21) 99990-0004,,clinica@horizonte.med.br,Rua do Catete 300,Rio de Janeiro,RJ,22220-000,horizontemedica.com.br,Saúde,34567890000103
Imobiliária Casa Nova,(51) 99990-0005,(51) 99990-0006,vendas@casanova.com.br,Av. Ipiranga 200,Porto Alegre,RS,90160-090,casanovaimoveis.com.br,Imobiliária,45678901000104
Escola de Idiomas Global,(41) 99990-0007,,info@globalidiomas.com.br,Rua XV de Novembro 800,Curitiba,PR,80020-310,globalidiomas.com.br,Educação,56789012000105
Consultório Odontológico Sorriso,(85) 99990-0008,,sorriso@odonto.com.br,Av. Beira Mar 1500,Fortaleza,CE,60165-121,sorrisoodonto.com.br,Odontologia,67890123000106
Tech Solutions TI,(11) 99990-0009,(11) 99990-0010,ti@techsolutions.com.br,Rua Vergueiro 3185,São Paulo,SP,04101-300,techsolutions.com.br,Tecnologia,78901234000107
Marketing Digital Agora,(31) 99990-0011,,oi@agora.digital,Av. do Contorno 5000,Belo Horizonte,MG,30110-090,agora.digital,Marketing,89012345000108
TESTE REAL — Contato 1,(31) 99921-9594,,teste@real.com,Rua Teste 1,Belo Horizonte,MG,30000-000,,Teste,90123456000109
TESTE REAL — Contato 2,(31) 98446-0456,,teste2@real.com,Rua Teste 2,Belo Horizonte,MG,30000-000,,Teste,01234567000110
